DIRECCION_BASE	count
AC 26-KR 75	43
AK 30-CL 6	43
AK 68-CL 20	43
CL 63-KR 86	43
AV AVENIDA CARACAS-CL 24	43
CL 17-KR 96B	43
AV AVENIDA PRIMERA DE MAYO-KR 68	43
AK 45-CL 161	43
KR 30-CL 75	43
AV AVENIDA BOYACA-CL 39B S	43
KR 7-CL 75	43
KR 7-CL 140	43
KR 13-CL 26	43
AK 45-CL 172	43
CL 100-KR 9	43
AV AVENIDA CIUDAD DE CALI-CL 91	43
AV AVENIDA DEL SUR-CL 60 S	42
CL 80-KR 24	42
AV AVENIDA CARACAS-CL 11	42
KR 7-CL 112	42
CL 13-KR 106	42
CL 63-KR 110	42
AV AVENIDA DE LAS AMERICAS-KR 69	42
KR 50-CL 19	42
CL 17-KR 98	42
KR 7-CL 85	42
CL 17-KR 137A	42
KR 30-CL 33	42
AK 68-CL 23	42
AV AVENIDA DEL SUR-CL 59	42
AV AVENIDA CIUDAD DE CALI-CL 75	42
KR 10-CL 31 S	42
AK 30-CL 63	41
CL 100-KR 60	41
AV AVENIDA CIUDAD DE CALI-CL 90	41
KR 7-CL 165	41
AV AVENIDA BOYACA-CL 131	41
AV AVENIDA CIUDAD DE CALI-CL 66A	41
CL 63-KR 96	41
KR 7-CL 39	41
KR 30-CL 78	41
CL 13-KR 32	41
KR 7-CL 36	41
AK 68-CL 80	41
CL 80-KR 30	41
CL 19-KR 22	41
KR 86-CL 24	41
KR 30-CL 1B	41
CL 170-KR 49B	40
KR 86-CL 26	40
CL 13-KR 60	40
CL 22-KR 86	40
KR 86-CL 43 S	40
CL 127-KR 60	40
CL 116-KR 70C	40
AK 45-CL 104	40
KR 30-CL 10	40
AV AVENIDA DEL SUR-KR 50	40
KR 7-CL 79	40
AC 26-KR 68	39
AK 45-CL 209	39
KR 30-CL 74	39
CL 134-KR 9	39
KR 9-CL 127	39
KR 7-CL 156	39
CL 127-KR 55	39
KR 24-CL 47B S	39
AV AVENIDA CARACAS-CL 44 S	39
AV AVENIDA DEL SUR-KR 62	39
AV AVENIDA DE LAS AMERICAS-KR 56	39
KR 80-CL 56 S	39
KR 7-CL 45	39
AK 68-CL 37 S	39
AV AVENIDA CIUDAD DE CALI-CL 129	39
KR 68-CL 9	39
KR 68-CL 19	39
CL 17-KR 97	39
CL 80-KR 112	39
CL 170-KR 9	39
KR 60-CL 26	38
AK 45-CL 150	38
CL 26-KR 51	38
AV AVENIDA CIUDAD DE CALI-CL 6A	38
AK 45-CL 166	38
CL 19-KR 8	38
CL 26-KR 30	38
AK 45-CL 190	38
AV AVENIDA BOYACA-CL 11	38
KR 80-CL 57A S	38
KR 7-CL 82	38
KR 45-CL 94	38
KR 30-CL 15	38
AV AVENIDA BOYACA-CL 152B	38
AV AVENIDA BOYACA-CL 49	38
CL 13-KR 24	38
AV AVENIDA CIUDAD DE CALI-CL 42A S	38
KR 86-CL 22	38
KR 45-CL 190	38
CL 6-KR 10	38
AV AVENIDA SUBA-KR 72	38
KR 30-CL 17 S	38
CL 68-KR 68	38
AV AVENIDA BOYACA-CL 20	37
KR 3-CL 19	37
AV AVENIDA BOYACA-CL 51 S	37
AV AVENIDA DE LAS AMERICAS-KR 33	37
KR 7-CL 57	37
AV AVENIDA CIUDAD DE CALI-CL 80	37
KR 7-CL 118	37
CL 24-KR 60	37
AV AVENIDA BOYACA-AV AVENIDA CIUDAD DE VILLAVICENCIO	37
AV AVENIDA CIRCUNVALAR-CL 39	37
KR 30-CL 18	37
KR 13-CL 63	37
KR 45-CL 235	37
CL 26-KR 45	37
CL 80-KR 77	37
AV AVENIDA DE LAS AMERICAS-KR 46	37
CL 13-KR 100	37
CL 100-KR 67	37
KR 30-CL 39A	37
CL 139-KR 118	37
KR 13-CL 54	37
KR 58-CL 134	37
KR 10-CL 15	36
AV AVENIDA PRIMERO DE MAYO-KR 27	36
AV AVENIDA CIUDAD DE CALI-CL 89	36
AK 45-CL 174	36
KR 10-CL 26	36
KR 45-CL 128	36
KR 45-CL 222	36
AK 45-CL 92	36
CL 72-KR 7	36
AV AVENIDA DEL SUR-KR 68	36
KR 7-CL 53	36
CL 13-KR 43	36
KR 7-CL 84	36
KR 27-CL 26 S	36
CL 72-KR 90	36
KR 45-CL 152	36
CL 6-KR 5	36
CL 116-KR 45	36
CL 80-KR 89A	36
CL 80-KR 70	36
