	Address	Latitude	Longitude
241	KR 29-CL 69J S	4.6557501	-74.0629644
242	DG 28BIS-KR 1A SE	4.6404118	-74.0778334
243	CL 50-KR 14	4.63743855	-74.06666845
244	DG 49-KR 84 S	4.629144	-74.1680019
245	CL 13-KR 116A	4.700083	-74.0724839
246	AV AVENIDA PASEO DE LOS LIBERTADORES-CL 137A	4.68655793	-74.05715797
247	CL 32-KR 8A SE	4.5999793	-74.1089124
248	TR 56-AC 76	4.646021	-74.0809979
249	KR 78P-CL 44 S	4.6463929	-74.0926924
250	AV AVENIDA PRIMERA DE MAYO-KR 72D	25.7637516	-102.9909669
251	KR 97-CL 21A	4.67204087	-74.1373705
252	KR 3F-DG 54 S	4.7306699	-74.0258042
253	AC 90-KR 86	4.70397	-74.1057349
254	KR 13BIS-CL 49 S	4.651398	-74.1372709
255	KR 5A-CL 48J S	4.63469695	-74.0637087
256	KR 75-CL 52	4.63943165	-74.0666057
257	KR 5-CL 30A S	4.61611	-74.06712
258	KR 112ABIS-CL 71C	4.71116015	-74.12689165
259	KR 77M-CL 65DBIS S	4.6909461	-74.0985835
260	KR 127B-CL 24	4.61280002	-74.07451494
261	KR 144-CL 74BBIS S	4.75277615	-74.11721035
262	KR 102B-CL 56F S	4.6417626	-74.06142345
263	KR 77C-CL 68B S	4.687005	-74.1025749
264	KR 79D-CL 58G S	4.64497155	-74.06673825
265	KR 128-CL 18A	4.68653355	-74.1545522
266	AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 12B	4.6297387	-74.1712444
267	KR 78I-CL 73G S	4.6929559	-74.099767
268	CL 169-KR 53	4.7509076	-74.0506379
269	CL 1-KR 20 S	4.58805535	-74.08349661
270	TR 55-CL 33	4.6176594	-74.0619567
271	CL 51-KR 70D	4.6674478	-74.1066381
272	CL 24-KR 103BIS	4.65006711	-74.10582507
273	CL 35B-KR 3A S	4.6237681	-74.06939915
274	CL 177-KR 69F	4.69735135	-74.1173617
275	KR 80A-CL 58C	4.64867879	-74.0806201
276	KR 45-CL 245 S	4.6484895	-74.09159285
277	AV AVENIDA SUBA-AC 129	4.72393043	-74.07469537
278	AV AVENIDA BOYACA-AC 2A S	4.58103463	-74.14247927
279	CL 79B-KR 70	4.6910886	-74.0856477
280	CL 61-KR 65B S	4.58800248	-74.18128001
281	KR 96A-CL 130C	4.7264129	-74.08392555
282	DG 13-AK 71D	4.6986185	-74.0405779
283	CL 57R-KR 76G S	4.64673765	-74.08233595
284	DG 42A-AK 19	4.68241095	-74.05293183
285	KR 104-CL 75A	4.708303	-74.1177185
286	TR 78-CL 41D S	4.63148407	-74.07564065
287	KR 7-CL 161A	4.7304608	-74.0263881
288	CL 70F-KR 107A	4.7069962	-74.12359525
289	KR 96G-CL 16H	4.668421	-74.1450629
290	AV AVENIDA CIUDAD DE CALI-AC 9	4.69532078	-74.10606361
291	KR 4-CL 86	4.6691023	-74.0513435
292	AV AVENIDA CARACAS-KR 31B S	4.51674	-74.1172799
293	TR 93-CL 64C	4.6975362	-74.1258492
294	AV AVENIDA CIUDAD DE VILLAVICENCIO-TR 42	4.62821063	-74.17075806
295	KR 18L-CL 69H S	4.5871212	-74.0996107
296	CL 22B-KR 30	4.66903765	-74.13150197
297	AC 13-KR 96F	4.6807126	-74.0475965
298	KR 77-CL 68C S	4.706214	-74.1309689
299	AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 73G	4.570359	-74.1289139
300	AV AVENIDA PRIMERA DE MAYO-CL 53	4.5758443	-74.09453095
301	TR 3C-AC 52A	4.638269	-74.0616065
302	KR 69C-CL 6C	4.631139	-74.1294319
303	CL 22C-KR 28	4.67042065	-74.13204815
304	CL 132-KR 153	4.74148375	-74.1246454
305	CL 106A-KR 70F	4.6929893	-74.04960765
306	KR 86-CL 23JBIS	4.73128805	-74.02834355
307	KR 24F-CL 24A S	4.60762054	-74.06654483
308	KR 6C-CL 90A ES	4.7178621	-74.1014302
309	AC 13-KR 10C SE	4.6824418	-74.0468134
310	KR 7-CL 155BIS	4.7317608	-74.0241395
311	AV AVENIDA CIUDAD DE VILLAVICENCIO-TR 20F	4.62779921	-74.17018416
312	CL 44-KR 26A S	4.64244255	-74.09033675
313	AV AVENIDA BOYACA-AC 98	4.69500667	-74.08959138
314	CL 57A-KR 79F S	4.64747355	-74.08259295
315	CL 86-KR 29	4.71789825	-74.1091782
316	CL 17-KR 113A	4.691115	-74.0326849
317	CL 127-KR 96A	4.7240541	-74.0988435
318	KR 54-CL 90	4.7124181	-74.0967553
319	KR 37-CL 5	4.64024775	-74.15725185
320	AK 14-CL 111 S	4.689401	-74.0325829
321	CL 148-KR 18A	4.7307071	-74.044655
322	AC 60G-KR 18C S	4.5853015	-74.101715
323	CL 68F-KR 117	4.69467815	-74.0326127
324	AC 2-KR 87D	4.741013	-74.033052
325	AV AVENIDA PRIMERO DE MAYO-AC 71F	4.6170125	-74.1380121
326	KR 10-DG 41 S	4.729662	-74.0246069
327	CL 80-KR 91A	4.66405015	-74.05353785
328	TR 42-DG 39H S	4.5683956	-74.1702369
329	AV AVENIDA BOYACA-KR 69F	4.66229752	-74.11508165
330	KR 13-CL 125A	4.7086253	-74.0666748
331	CL 115-KR 7C S	4.6922193	-74.0311239
